Операция,ORC x1 (мс),Parquet x1 (мс),ORC Размер x1 (MB),Parquet Размер x1 (MB)
Запись БЕЗ сортировки,188,219,0.06,0.07
Запись С сортировкой,174,220,0.05,0.07
Чтение полного датасета (несортированный),22,51,0.00,0.00
Чтение полного датасета (сортированный),26,63,0.00,0.00
Фильтрация CustomerID IS NOT NULL (несортированный),23,49,0.00,0.00
Фильтрация CustomerID IS NOT NULL (сортированный),24,57,0.00,0.00
Фильтрация FullPrice > 1000 (несортированный),28,49,0.00,0.00
Фильтрация FullPrice > 1000 (сортированный),22,49,0.00,0.00
Сортировка по FullPrice DESC (несортированный),18,40,0.00,0.00
Сортировка по FullPrice DESC (сортированный),17,43,0.00,0.00
